,Batch_number,diceABase,diceATent,diceNBase,diceNTent,FailFlag,FgPerc,AbPerc,NPerc
0,0,0.8247950965718766,0.8009618461911063,0.9789816706553002,0.9810118262823092,"[False, None, None, None, 9]",0.021067074366978238,0.16654750279017858,0.8123854228428432
1,1,0.7846076685214658,0.872242650696833,0.9478673078093615,0.9688196709139261,"[False, None, None, None, 9]",0.03559739249093192,0.13897173745291574,0.8254308700561523
2,2,0.3505331864943995,0.6106418918918919,0.9867666984163103,0.9927772940646453,"[False, None, None, None, 9]",0.004049437386648995,0.14366354261125838,0.8522870200020927
3,3,0.15765288087663484,0.030886767987103256,0.9539445200880953,0.8292312954508276,"[False, None, None, None, 9]",0.001746995108468192,0.0211334228515625,0.9771195820399693
4,4,0.6972009780562304,0.7377523498161014,0.9724123179578084,0.9718573215466294,"[False, None, None, None, 9]",0.011019025530133928,0.10911709921700614,0.8798638752528599
5,5,0.7622953257685043,0.8290892843106024,0.9817937617619523,0.9883700482761351,"[False, None, None, None, 9]",0.021980694362095425,0.24873815264020646,0.7292811529976981
6,6,0.6887680555092237,0.7733814693673567,0.9782613327175499,0.9852807367422974,"[False, None, None, None, 9]",0.026382173810686384,0.29167488643101286,0.6819429397583008
7,7,0.6842037875525241,0.824233351266637,0.9788050455337782,0.9889565783930686,"[False, None, None, None, 9]",0.02294622148786272,0.2829632077898298,0.6940905707223075
8,8,0.18481817762824354,0.4853903040262942,0.9889912150126076,0.9942679030711883,"[False, None, None, None, 9]",0.004758971078055245,0.28881113869803293,0.7064298902239118
9,9,0.0,0.0,0.9898048417282508,0.9848183936378069,"[False, None, None, None, 9]",0.003926413399832589,0.27570860726492746,0.7203649793352399
10,10,0.0,0.0,0.9952055034656211,0.9815171354745402,"[False, None, None, None, 9]",0.0009719303676060268,0.2507969992501395,0.7482310703822544
11,11,0.0,0.0,0.9953995878829377,0.9879476793035739,"[False, None, None, None, 9]",0.0014469964163643973,0.22199467250279017,0.7765583310808454
12,12,0.0,0.0,0.9975305296883096,0.9850889353527896,"[False, None, None, None, 9]",0.00032397678920200894,0.17203576224190847,0.8276402609688895
13,13,0.0,,0.9970794435691659,0.9924716911943968,"[False, None, None, None, 9]",0.0001273836408342634,0.10156290871756417,0.8983097076416016
14,14,0.0,0.0,0.9908354329877919,0.965360354987649,"[False, None, None, None, 9]",0.00030190604073660713,0.03812898908342634,0.961569104875837
15,15,0.723937561976195,0.7872470363514257,0.9168973768542241,0.949189512833431,"[False, None, None, None, 9]",0.05290004185267857,0.13815389360700334,0.808946064540318
16,16,0.5338230927426894,0.5731202561431312,0.9165560230242682,0.9491625672215049,"[False, None, None, None, 9]",0.03506101880754743,0.12974139622279576,0.8351975849696568
17,17,0.69618499421536,0.7496963096385038,0.9746531449780178,0.9851015631710041,"[False, None, None, None, 9]",0.02360480172293527,0.2438896724155971,0.7325055258614677
18,18,0.060656231186032514,0.06273971226154387,0.9683647483777477,0.9711132711493415,"[False, None, None, None, 9]",0.008606093270438058,0.13686725071498326,0.8545266560145787
19,19,0.18070136251954433,0.32348185411426517,0.9912210075473655,0.9895435681301101,"[False, None, None, None, 9]",0.001926285879952567,0.13481507982526506,0.8632586342947823
20,20,0.5178054781926831,0.624547803617571,0.9928715941535727,0.995256348871317,"[False, None, None, None, 9]",0.0034509386335100445,0.21556649889264787,0.7809825624738421
21,21,0.6269616987054185,0.7034117444247676,0.9876133462090037,0.9937886670776512,"[False, None, None, None, 9]",0.007763590131487165,0.2305307388305664,0.7617056710379464
22,22,0.7103297959767034,0.31935796512317055,0.9550408067786037,0.9511377319990006,"[False, None, None, None, 9]",0.008850915091378348,0.06635488782610212,0.9247941970825195
23,23,0.8579946338070158,0.8913904024086569,0.6898599356839136,0.7538457189433165,"[False, None, None, None, 9]",0.13025978633335658,0.05432442256382534,0.815415791102818
24,24,0.8565234296314688,0.8809983288646545,0.8609731922304968,0.8999420150286195,"[False, None, None, None, 9]",0.08044610704694476,0.06704412187848773,0.8525097710745675
25,25,0.6348131272704882,0.020576934562322072,0.7092349893325206,0.8377164849262347,"[False, None, None, None, 9]",0.009963035583496094,0.007294654846191406,0.9827423095703125
26,26,0.7550984266978348,0.7250657611087022,0.9727955818196782,0.9773041997670894,False,NA,NA,NA
