,Batch_number,diceABase,diceATent,diceNBase,diceNTent,FailFlag,FgPerc,AbPerc,NPerc,baseECE,tentECE
0,0,0.8247950965718766,0.8380731489741302,0.9789816706553002,0.9818973656801893,"[False, [array(0.03245865, dtype=float32), array(0.01530137, dtype=float32)], [array(0.01501652, dtype=float32), array(0.00907901, dtype=float32)], 9]",0.021067074366978238,0.16654750279017858,0.8123854228428432,0.42560053,0.44986293
1,1,0.7846076685214658,0.7917184573013539,0.9478673078093615,0.9493911163754523,"[False, [array(0.03972459, dtype=float32), array(0.02966836, dtype=float32)], [array(0.02104249, dtype=float32), array(0.01488311, dtype=float32)], 9]",0.03559739249093192,0.13897173745291574,0.8254308700561523,0.42670318,0.45768297
2,2,0.3505331864943995,0.5806291184881264,0.9867666984163103,0.9928991433449508,"[False, [array(0.04793959, dtype=float32), array(0.02591711, dtype=float32)], [array(0.02210529, dtype=float32), array(0.00977007, dtype=float32)], 6]",0.004049437386648995,0.14366354261125838,0.8522870200020927,0.43233153,0.4670349
3,3,0.15765288087663484,0.08346401254520434,0.9539445200880953,0.8729435450246,"[False, [array(0.26865298, dtype=float32), array(0.14663984, dtype=float32)], [array(0.1001856, dtype=float32), array(0.04272068, dtype=float32)], 9]",0.001746995108468192,0.0211334228515625,0.9771195820399693,0.45622241,0.4315169
4,4,0.6972009780562304,0.7817193597547547,0.9724123179578084,0.9830987415727861,"[False, [array(0.05684466, dtype=float32), array(0.03896802, dtype=float32)], [array(0.02524516, dtype=float32), array(0.01447607, dtype=float32)], 9]",0.011019025530133928,0.10911709921700614,0.8798638752528599,0.44080377,0.45548442
5,5,0.7622953257685043,0.7957711209190221,0.9817937617619523,0.9831806264059861,"[False, [array(0.04481292, dtype=float32), array(0.04467116, dtype=float32)], [array(0.02410424, dtype=float32), array(0.02035828, dtype=float32)], 4]",0.021980694362095425,0.24873815264020646,0.7292811529976981,0.4295701,0.4425431
6,6,0.6887680555092237,0.7527598688135728,0.9782613327175499,0.9838211293234699,"[False, [array(0.04182306, dtype=float32), array(0.04152211, dtype=float32)], [array(0.01707476, dtype=float32), array(0.02602726, dtype=float32)], 9]",0.026382173810686384,0.29167488643101286,0.6819429397583008,0.42927566,0.44532752
7,7,0.6842037875525241,0.8157636285670812,0.9788050455337782,0.9878961773190428,"[False, [array(0.04033405, dtype=float32), array(0.04973602, dtype=float32)], [array(0.02163978, dtype=float32), array(0.03530212, dtype=float32)], 5]",0.02294622148786272,0.2829632077898298,0.6940905707223075,0.42656416,0.44717234
8,8,0.18481817762824354,0.48524991083711216,0.9889912150126076,0.9954242462311852,"[False, [array(0.05716064, dtype=float32), array(0.08013605, dtype=float32)], [array(0.01799133, dtype=float32), array(0.02214303, dtype=float32)], 8]",0.004758971078055245,0.28881113869803293,0.7064298902239118,0.42955038,0.4477694
9,9,0.0,0.0,0.9898048417282508,0.9972091667292369,"[False, [array(0.07058954, dtype=float32), array(0.15667416, dtype=float32)], [array(0.01656252, dtype=float32), array(0.02099968, dtype=float32)], 9]",0.003926413399832589,0.27570860726492746,0.7203649793352399,0.4265956,0.4483921
10,10,0.0,0.0,0.9952055034656211,0.9966999693626786,"[False, [array(0.067247, dtype=float32), array(0.12493467, dtype=float32)], [array(0.01432855, dtype=float32), array(0.00810581, dtype=float32)], 9]",0.0009719303676060268,0.2507969992501395,0.7482310703822544,0.42723358,0.44924545
11,11,0.0,0.0,0.9953995878829377,0.9979201789665998,"[False, [array(0.06420219, dtype=float32), array(0.10212155, dtype=float32)], [array(0.01089346, dtype=float32), array(0.01067824, dtype=float32)], 9]",0.0014469964163643973,0.22199467250279017,0.7765583310808454,0.42913482,0.44028094
12,12,0.0,0.0,0.9975305296883096,0.9988268566290519,"[False, [array(0.06474523, dtype=float32), array(0.06493958, dtype=float32)], [array(0.01376425, dtype=float32), array(0.00394397, dtype=float32)], 9]",0.00032397678920200894,0.17203576224190847,0.8276402609688895,0.43578613,0.44809932
13,13,0.0,,0.9970794435691659,0.9976699681047507,"[False, [array(0.07239455, dtype=float32), array(0.03160922, dtype=float32)], [array(0.02266139, dtype=float32), array(0.00451463, dtype=float32)], 9]",0.0001273836408342634,0.10156290871756417,0.8983097076416016,0.445239,0.4510883
14,14,0.0,0.0,0.9908354329877919,0.9778165150138877,"[False, [array(0.16712323, dtype=float32), array(0.05056896, dtype=float32)], [array(0.05860346, dtype=float32), array(0.01540195, dtype=float32)], 9]",0.00030190604073660713,0.03812898908342634,0.961569104875837,0.45042264,0.44466
15,15,0.723937561976195,0.7427268854120991,0.9168973768542241,0.9227811208880441,"[False, [array(0.04635329, dtype=float32), array(0.03630826, dtype=float32)], [array(0.02511346, dtype=float32), array(0.02085078, dtype=float32)], 9]",0.05290004185267857,0.13815389360700334,0.808946064540318,0.4224686,0.4372731
16,16,0.5338230927426894,0.5407779101391292,0.9165560230242682,0.9195158044678678,"[False, [array(0.04504524, dtype=float32), array(0.03157481, dtype=float32)], [array(0.02355652, dtype=float32), array(0.01775403, dtype=float32)], 9]",0.03506101880754743,0.12974139622279576,0.8351975849696568,0.41661137,0.4662884
17,17,0.69618499421536,0.7415748900746103,0.9746531449780178,0.9792308104860027,"[False, [array(0.03198212, dtype=float32), array(0.02458526, dtype=float32)], [array(0.01745111, dtype=float32), array(0.01477525, dtype=float32)], 9]",0.02360480172293527,0.2438896724155971,0.7325055258614677,0.41688836,0.445491
18,18,0.060656231186032514,0.07698968747539951,0.9683647483777477,0.9756637742595319,"[False, [array(0.05338659, dtype=float32), array(0.04093059, dtype=float32)], [array(0.0310596, dtype=float32), array(0.02093744, dtype=float32)], 5]",0.008606093270438058,0.13686725071498326,0.8545266560145787,0.41975403,0.47055438
19,19,0.18070136251954433,0.559231113097899,0.9912210075473655,0.9963992576884949,"[False, [array(0.05526801, dtype=float32), array(0.03306747, dtype=float32)], [array(0.01944329, dtype=float32), array(0.00935066, dtype=float32)], 8]",0.001926285879952567,0.13481507982526506,0.8632586342947823,0.41873217,0.4599409
20,20,0.5178054781926831,0.7048134688125788,0.9928715941535727,0.9961343268008694,"[False, [array(0.03765079, dtype=float32), array(0.03108088, dtype=float32)], [array(0.01378128, dtype=float32), array(0.00870195, dtype=float32)], 7]",0.0034509386335100445,0.21556649889264787,0.7809825624738421,0.41452715,0.44648802
21,21,0.6269616987054185,0.6942812581232128,0.9876133462090037,0.9915471888201555,"[False, [array(0.03126771, dtype=float32), array(0.01779433, dtype=float32)], [array(0.01813954, dtype=float32), array(0.01005932, dtype=float32)], 4]",0.007763590131487165,0.2305307388305664,0.7617056710379464,0.41023862,0.44420743
22,22,0.7103297959767034,0.7570311335203784,0.9550408067786037,0.9562709186537223,"[False, [array(0.09964049, dtype=float32), array(0.21648888, dtype=float32)], [array(0.03852408, dtype=float32), array(0.01385009, dtype=float32)], 9]",0.008850915091378348,0.06635488782610212,0.9247941970825195,0.4459655,0.44811034
23,23,0.8579946338070158,0.851822941557545,0.6898599356839136,0.6465749345509139,"[False, [array(0.07045513, dtype=float32), array(0.0681918, dtype=float32)], [array(0.03612434, dtype=float32), array(0.03616298, dtype=float32)], 9]",0.13025978633335658,0.05432442256382534,0.815415791102818,0.45013466,0.4499814
24,24,0.8565234296314688,0.8623404175428057,0.8609731922304968,0.8667315896950114,"[False, [array(0.06036332, dtype=float32), array(0.03550867, dtype=float32)], [array(0.02979036, dtype=float32), array(0.02050921, dtype=float32)], 9]",0.08044610704694476,0.06704412187848773,0.8525097710745675,0.45152697,0.4416224
25,25,0.6348131272704882,0.0318410049161112,0.7092349893325206,0.8275666016894087,"[True, [array(0.4334806, dtype=float32), array(0.37586364, dtype=float32)], [array(0.4334806, dtype=float32), array(0.37586364, dtype=float32)], 1]",0.009963035583496094,0.007294654846191406,0.9827423095703125,0.41417575,0.32638484
26,26,0.7550984266978348,0.786306197705955,0.9727955818196782,0.9763628070656127,False,NA,NA,NA,0.46747985,0.48307052
